,Id,Username,Text,Date,Hashtags
0,1080252296989159424,NancyRo57423839,#apple #computer #ebay #ebayseller #ebaystore #BlackDogJunktiques #jean #jacket #denim #flashback https://rover.ebay.com/rover/0/0/0?mpre=https%3A%2F%2Fwww.ebay.com%2Fulk%2Fitm%2F202554306037,2019-01-01 23:59:52+00:00,#apple #computer #ebay #ebayseller #ebaystore #BlackDogJunktiques #jean #jacket #denim #flashback
1,1080252185206841345,RedShadow113,Did #Apple retail prices get too high in 2018? Consumers say yes. #AppleNews #TechnologyNews #Technology #TechNews #Millennials #TuesdayThoughts #technologies #NewYearsResolution #HappyNewYear2019 #MondayMotivaton #ipadpro #iPadPro2018 #iPhone #iPhoneXS,2019-01-01 23:59:25+00:00,#Apple #AppleNews #TechnologyNews #Technology #TechNews #Millennials #TuesdayThoughts #technologies #NewYearsResolution #HappyNewYear2019 #MondayMotivaton #ipadpro #iPadPro2018 #iPhone #iPhoneXS
2,1080251842079150081,SophieLongw,Das wird noch besser... alternativ könnten sie auf #Apple umsteigen... allerdings... Gründer Steve Jobs war Halbsyrer... geht also auch nicht. Bliebe Linux. Sind die zu dumm für :D:D:D,2019-01-01 23:58:03+00:00,#Apple
3,1080251787641262080,mreneestreams,Also! Here’s a reminder about the giveaway! Any information you need about it should be in this tweet or on the discord server! #stream #streamer #giveaway #twitch #twitchtv #apple #itunes #iTunesCard,2019-01-01 23:57:50+00:00,#stream #streamer #giveaway #twitch #twitchtv #apple #itunes #iTunesCard
4,1080251092217278469,ambermac,Looking forward to #Apple's 2019 product lineup - here are a few things that might pop up ,2019-01-01 23:55:05+00:00,#Apple
5,1080251089470001154,LWNovels,Check out this latest new #thriller on #Goodreads LAS VEGAS CRIME #Retweet #ThankYou #Amazon #followme #apple ,2019-01-01 23:55:04+00:00,#thriller #Goodreads #Retweet #ThankYou #ThankYou #Amazon #followme #apple
6,1080250856841400320,TuitSugerido, 7 nuevas funciones que podrás disfrutar con el iOS 12 #Apple ,2019-01-01 23:54:09+00:00,#Apple
7,1080250407048437760,MACINASNAP,What the iPhone XS and iPhone XS Max are really doing to your selfies https://goo.gl/NDT58q #macinasnap #apple ,2019-01-01 23:52:21+00:00,#macinasnap #apple
8,1080250384839569408,smileofmad,Vous savez si il y a moyen de désactivé la façon dont les notifications se mettes comme ça ? Parce que j’aime pas du tout et depuis le temps j’arrive pas a m’y habitué... #iOS #Apple #iPhone,2019-01-01 23:52:16+00:00,#iOS #Apple #iPhone
9,1080250384256561153,pythononwheels,"I bought a used #MacBookPro 2016, core i5, 16 GB, 256GB 2 weeks ago and this is (by far) the best Notebook I ever had. I hate #Apple 's price politics (#MacMini should be starting 749 with 8GB, 256GB) But the quality, speed &amp; silence are great! I even like just looking at it.",2019-01-01 23:52:16+00:00,#MacBookPro #Apple #MacMini
10,1080614671579865088,BronxTravel,"Apple cuts holiday sales forecast on iPhone and China weakness, stock falls 8% #WallStreet #Apple #Sales #Forecast #IPhone #China #USA",2019-01-02 23:59:49+00:00,#WallStreet #Apple #Sales #Forecast #IPhone #China #USA
11,1080614636154773505,thelastatarist,"""Apple says cheap battery replacements hurt iPhone sales"" https://www.theverge.com/platform/amp/2019/1/2/18165866/apple-iphone-sales-cheap-battery-replacement #apple Yep, cure de jeneusse!",2019-01-02 23:59:40+00:00,#apple
12,1080614573671997441,NabiyevEmin,"their installed unit base has grown by 100M in 2018 + they have 130B of cash on the balance sheet. They could have sacrificed margins & ramped up discounting, but maintained discipline instead. $AAPL #AAPL #Apple #StockMarket",2019-01-02 23:59:25+00:00,#AAPL #Apple #StockMarket
13,1080614531829776389,Britanniacomms,"HELLO? YEAH, I'M ON THE TRAIN... c LettersDesk #GreatBritain #Apple",2019-01-02 23:59:15+00:00,#GreatBritain #Apple
14,1080614505338396673,Rhyz46386027,@XtraGiveaways Fast iPhone XS giveaway To Enter: 1. Retweet 2. Follow us 3. Turn Notifications on Winner in 1 hour Good Luck #giveaway #apple #iphone https://twitter.com/XtraGiveaways/status/1080522804427218944/photo/1,2019-01-02 23:59:09+00:00,#giveaway #apple #iphone
15,1080614493368057858,Troy_Fulton,"#Apple slashes revenue guidance, says iPhone sales are weak in China — shares tank ",2019-01-02 23:59:06+00:00,#Apple
16,1080614489555378176,BookFeaturedApp,El Libro de los Mediums - Allan Kardec https://geo.itunes.apple.com/book/id1266347676?at=1000l8de #Book #Slovakia #Apple,2019-01-02 23:59:05+00:00,#Book #Slovakia #Apple
17,1080614410106880002,AgileVentures,"Sorry I took so long to upgrade, #Apple. https://tcrn.ch/2TnWmQM #technology",2019-01-02 23:58:46+00:00,#Apple #technology
18,1080614254972002304,anshelsag,"In China #Apple has to compete with #Huawei, #Oppo and #Vivo. In India, @Apple has to compete with all those brands PLUS @OnePlus. And in the rest of the world Apple also has to compete with Samsung and Huawei. To compound further, Apple not having #5G this year won't help either",2019-01-02 23:58:09+00:00,#Apple #Huawei #Oppo #Vivo #5G
19,1080614243991515136,jedschneiderman,"Apple Cuts Revenue Forecast Because of Slow Sales in China Apple’s announcement, which appeared to be the first time the company had revised its financial guidance since 2002. #china #apple #iphone https://nyti.ms/2GOAvQU https://lnkd.in/eYjGv8m",2019-01-02 23:58:07+00:00,#china #apple #iphone
20,1080977054953279489,SecretNews,"#Apple Is Just The Start: #Trump Econ Advisor Warns Pain Coming For ""Heck Of A Lot"" US Companies",2019-01-03 23:59:48+00:00,#Apple #Trump
21,1080977006974640128,CaineDaL,Siri Got Bars Yo #Apple #siri #whograve #freestyle #trapteammafia #trapteammalitia https://www.instagram.com/p/BsMQp0lA2Ia/?utm_source=ig_twitter_share&amp;igshid=1b0a1fqxovlax,2019-01-03 23:59:36+00:00,#Apple #siri #whograve #freestyle #trapteammafia #trapteammalitia
22,1080976937122697217,ercanugurlu,Apple hakkında çok şey konuşuldu; çok şey yazıldı. Ama bazıları aslında doğru değil. #Apple hakkında doğru sanılan 8 yanlış bilgiyi derledik: ,2019-01-03 23:59:20+00:00,#Apple
23,1080976815345278976,BeerdHead, the #communist party wants to Destroy #Capitalism and that includes #Apple $AAPL,2019-01-03 23:58:51+00:00,#communist #Capitalism #Apple
24,1080976684621406208,Julvilop," El vicepresidente del MCRC entrevistado .., Diario MCRC H1X consejo de seguridad de la onu Stones #Apple Coachella https://www.diariorc.com/2018/11/04/el-vicepresidente-del-mcrc-entrevistado-por-la-prensa-local-de-murcia/",2019-01-03 23:58:19+00:00,#Apple
25,1080976642363871234,SciStuff_Blog,"#Science #News| Finally, New Horizons' First Photos of Ultima Thule |#electronics #tech #electronic #device #gadget #geek #techie #nerd #apple #samsung #ios #android",2019-01-03 23:58:09+00:00,#Science #News #electronics #tech #electronic #device #gadget #geek #techie #nerd #apple #samsung #ios #android
26,1080976630275887105,LindaAbbott55,Dow closes down more than 600 points as Apple has its worst day since 2013 https://on.mktw.net/2R8o4Eo #Economy #Investing #StockMarket #Apple #Dow #DJIA #Nasdaq #SPX,2019-01-03 23:58:06+00:00,#Economy #Investing #StockMarket #Apple #Dow #DJIA #Nasdaq #SPX
27,1080976573233283072,SecretNews,"Hedge Funds, ETFs, Central Banks Suffer Billions In Losses On Apple https://www.zerohedge.com/news/2019-01-03/hedge-funds-central-banks-suffer-billions-losses-apple #Apple #Investing",2019-01-03 23:57:53+00:00,#Apple #Investing
28,1080976443503529984,JacksonJennings,#Stocks - Wall Street Hammered as #Apple’s Problems Take on Global Significance - ,2019-01-03 23:57:22+00:00,#Stocks #Apple
29,1080976333927301121,CurtisSChin,"#Washington: does today’s #Apple 1Q guidance reveal a #China that is weaker than its leadership is letting on? Have a listen to Dagen McDowell, Liz Peek &amp; on #FoxBusiness. https://lnkd.in/fXXGv57 via @YouTube #Trump #Xi #worldintransition #trade #…https://lnkd.in/ftZKgfY",2019-01-03 23:56:56+00:00,#Washington #Apple #China #FoxBusiness #Trump #Xi #worldintransition #trade
30,1081339485584015360,mabgia,El mensaje de #TimCook a los empleados de #Apple sobre el recorte de las previsiones de venta del #iPhone http://fie-r.it/a/nbxEF #fielinks,2019-01-04 23:59:58+00:00,#TimCook #Apple #iPhone #fielinks
31,1081339443217338368,gamefame12,Check out what I'm selling on Mercari! 20x Lighting Charger For iPhon #apple #applewatch #AppleMusic #apples #appleiphone #Applepie #applestore #applepicking #ApplePencil #appletv #applecider #applecidervinegar #applefan #appleandcoffee #appletree #appleo,2019-01-04 23:59:48+00:00,#apple #applewatch #AppleMusic #apples #appleiphone #Applepie #applestore #applepicking #ApplePencil #appletv #applecider #applecidervinegar #applefan #appleandcoffee #appletree #appleo
