,Id,Username,Text,Date,Hashtags
30,683799794570117120,trendblognet,"Apple Wants to Let You Make Payments Through Texts, Phone Calls and Emails - Nextgov http://ift.tt/1ILhtWQ #Apple",2016-01-03 23:59:10+00:00,#Apple
31,683799737447923712,LGallagher97,NAaah my iPhone charger just hit that stage where I have to hold it at a certain angle for it to work #Apple,2016-01-03 23:58:56+00:00,#Apple
32,683799522351407108,IndyAppleGear,"MACBOOK AIR 13 (MID 2011) CORE I5, 128GB SSD, 4GB RAM, OFFICE 2011 (Northeast Indianapolis) $550 http://ift.tt/1kDzmen #indy #apple #gear",2016-01-03 23:58:05+00:00,#indy #apple #gear
33,683799323218448388,paypalmoneyaddr,Get #paypal #money #free #loan #carloan #paypalwish #itunes2015 #apple #android #payments https://bitly.com/getpaypalmoneyadder,2016-01-03 23:57:17+00:00,#paypal #money #free #loan #carloan #paypalwish #itunes2015 #apple #android #payments
34,683799317652574209,paypalmoneyaddr,Get #paypal #money #free #loan #carloan #paypalwish #itunes2015 #apple #android #payments https://bitly.com/getpaypalmoneyadder,2016-01-03 23:57:16+00:00,#paypal #money #free #loan #carloan #paypalwish #itunes2015 #apple #android #payments
35,683799312803983360,paypalmoneyaddr,Get #paypal #money #free #loan #carloan #paypalwish #itunes2015 #apple #android #payments https://bitly.com/getpaypalmoneyadder,2016-01-03 23:57:15+00:00,#paypal #money #free #loan #carloan #paypalwish #itunes2015 #apple #android #payments
36,683799167697858562,bparkingnyc,RT ustechtweets River Valley High drops iPad scheme - The Straits Times http://goo.gl/fb/TvhC2h #ipad #news #apple,2016-01-03 23:56:40+00:00,#ipad #news #apple
37,683799123644973056,Jackie135_7,#Apple #iPhone5s Smartphone Giveaway - http://www.paidfreedroid.com/2016/01/apple-iphone-5s-16gb-space-grey-giveaway.html @PaidFreeDroid,2016-01-03 23:56:30+00:00,#Apple #iPhone5s
38,683798991256031233,paypalmoneyaddr,#paypal #apple #marketing #facebook #youtube #clashofclans #money #gift #newyear get it he… https://bitly.com/getpaypalmoneyadder,2016-01-03 23:55:58+00:00,#paypal #apple #marketing #facebook #youtube #clashofclans #money #gift #newyear
39,683798988210974720,paypalmoneyaddr,#paypal #apple #marketing #facebook #youtube #clashofclans #money #gift #newyear get it he… https://bitly.com/getpaypalmoneyadder,2016-01-03 23:55:57+00:00,#paypal #apple #marketing #facebook #youtube #clashofclans #money #gift #newyear
40,684162297649065985,imagazinemag,Price Drop: Lumiè (Photography) http://bit.ly/1kGK2c5 #imagazine #apple,2016-01-04 23:59:37+00:00,#imagazine #apple
41,684162292942934016,ThePr0n3,[AppStore] Price Drop: Lumiè (Photography): Lumiè 2.0.1Device: iOS UniversalCategory: Photog... http://bit.ly/IddY9x #apple #appstore,2016-01-04 23:59:36+00:00,#apple #appstore
42,684162262181916672,typicalyospos,i remember givin’ a kid $10 to go into the #apple store int he mall and open it on all the macbooks #incomplete_fish,2016-01-04 23:59:29+00:00,#apple #incomplete_fish
43,684162225536397312,iPh0neP0wer,Expanden la función de búsqueda universal del Apple TV http://ift.tt/1Z27ezf #Apple #iPhone,2016-01-04 23:59:20+00:00,#Apple #iPhone
44,684162196897579008,MichaelPureSoul,#ios9.2 has added a problem to the #calendar #iphone #apple #iosproblems can't add different alerts. I'm so mad!! Stupid Apple updates!! ,2016-01-04 23:59:13+00:00,#ios9 #calendar #iphone #apple #iosproblems
45,684162158142164992,yash812526,#Apple #iPhone5s Smartphone Giveaway - http://www.paidfreedroid.com/2016/01/apple-iphone-5s-16gb-space-grey-giveaway.html @PaidFreeDroid,2016-01-04 23:59:04+00:00,#Apple #iPhone5s
