,Id,Username,Text,Date,Hashtags
0,947980670235828224,gffcontwitch,@AppleSupport @Apple I want money now http://econewsmedia.org/2018/01/01/apple-execs-now-facing-jail-time-deliberately-slowing-iphones/ #Apple #applelawsuit,2018-01-01 23:59:39+00:00,#Apple #applelawsuit
1,947980571665489923,appappleitunes,Appleの初売りセールが2日よりスタート 対象商品を紹介 - livedoor http://ift.tt/2Cp8BHZ #Apple,2018-01-01 23:59:15+00:00,#Apple
2,947980559883669504,ericmlevine1,"#Apple is still leaving the #iPhone 6s/6s+ owners to dry. Apple is not fixing the fundamental problem, but simply delaying it with another #underpoweredBattery. A new underpowered battery for the 6s is doomed to repeat another early failure. We demand better!",2018-01-01 23:59:12+00:00,#Apple #iPhone #underpoweredBattery
3,947980465717231616,wiliermikumiku,加湿器かと思ったwww Mac Pro≒パソコンらしいw #apple ,2018-01-01 23:58:50+00:00,#apple
4,947980159558258689,stockmarkettv,Stock Market Legend First Ever Forecasting Apple to Acquire Netflix in 2018 $AAPL $NFLX $QQQ $SPX #apple #netflix https://stockmarketlive.tv/2017/06/21/buffett-lose-hundreds-millions-dollars-apple-acquire-netflix/#.WkrKgRNSy0o,2018-01-01 23:57:37+00:00,#apple #netflix
5,947979984018296832,emrebaskanxd,iPhone X dedin 10. yıla özel dedin 6100lira dedin şimdi 2 yıl sonra onu da mı yavaşlatacaksın heeeeeyt be yemezler koçum #iPhoneX #Apple @Apple,2018-01-01 23:56:55+00:00,#iPhoneX #Apple
6,947979396110958592,nihonshifree,ひとはみなおうえんしたおおしおのらん よくわかる日本史年号トレーニング #iphone #apple #app https://itunes.apple.com/jp/app/hitasura99toreningu/id963145104?l=ja&amp;ls=1&amp;mt=8,2018-01-01 23:54:35+00:00,#iphone #apple #app
7,947979164027584513,christinajames3,#erotic #military #romance - Being a pretend boyfriend is so much fun for this Navy SEAL #romancebook #romancereader #eroticromance #amreading #mustread #greatread #amazon #kindle #nook #ibooks #apple #tbr only $3.99 http://www.amazon.com/dp/B01LWZMI5G http://www.christinajamesauthor.com,2018-01-01 23:53:39+00:00,#erotic #military #romance #romancebook #romancereader #eroticromance #amreading #mustread #greatread #amazon #kindle #nook #ibooks #apple #tbr
8,947979046754963457,TheTechJournal,Turns Your #iPad Into a #Typewriter With #Typescreen #Retro Typewriter https://goo.gl/KHbCSe #accessory #apple ,2018-01-01 23:53:12+00:00,#iPad #Typewriter #Typescreen #Retro #accessory #apple
9,947978907512459264,circame2,No left/right pad buttons - and now this [ what - no {prt scr} ] #Apple so #selfie driven it forgot productivity http://www.bostonherald.com/business/technology/2017/12/a_simple_guide_for_how_to_take_a_screenshot_on_your_mac,2018-01-01 23:52:38+00:00,#Apple #selfie
10,948343008122097664,applesource_uk,Apple to Announce Q1 2018 Earnings on February 1 http://ift.tt/2Cvyi9D #Apple,2018-01-02 23:59:27+00:00,#Apple
11,948342775518556162,tq_equities,$AAPL PUSHES THROUGH 50-DAY MOVING AVERAGE: https://techniquant.com/reports/stock-aapl-daily-technical-report-for-2018-01-02/ Sentiment: Bullish #AAPL #Apple,2018-01-02 23:58:31+00:00,#AAPL #Apple
12,948342751195676672,WizardCase,#Apple #topicoftheday #love #instagood #picoftheday #bestoftheday #CaseiPhone ... https://wizardcase.com/vintage-vertical-flip-card-holder-pu-leather-case/,2018-01-02 23:58:25+00:00,#Apple #topicoftheday #love #instagood #picoftheday #bestoftheday #CaseiPhone
13,948342679988924417,DVCAM_NL,Apple to Announce Q1 2018 Earnings on February 1 http://dlvr.it/Q8czS6 #apple #macOS #iOS,2018-01-02 23:58:08+00:00,#apple #macOS #iOS
14,948342625479942144,RickNowak,"#Apple misses an opportunity to give the #iMacPro what pro users want: 'easy' upgradeability. Considering the need for new case tooling for the rear of the unit, a different choice could have been made. This is another in a long series of style-over-substance decisions.",2018-01-02 23:57:55+00:00,#Apple #iMacPro
15,948342612678684673,akbarsaliev,I think #apple will acquire #netflix,2018-01-02 23:57:52+00:00,#apple #netflix
16,948342521679130626,FunkyFuNati,וואט דה פאק סירי? #siri #siriusly #tupac #jayz #nas #makaveli #apple #iphone #israelimusic… https://www.instagram.com/p/Bdd2GzLD7EB/,2018-01-02 23:57:31+00:00,#siri #siriusly #tupac #jayz #nas #makaveli #apple #iphone #israelimusic
